 ,Area,XM,YM,Slice
1,5751,168.304,59.254,11
2,5744,171.926,100.579,12
3,5705,175.036,143.225,13
4,5674,177.945,187.493,14
5,5663,180.844,233.990,15
6,5653,183.858,282.312,16
7,5622,186.603,332.255,17
8,5614,189.888,383.544,18
9,5631,192.378,437.604,19
10,5642,195.077,493.029,20
11,5646,197.717,550.152,21
12,5653,200.322,609.728,22
13,5678,202.998,671.456,23
14,5710,205.414,734.807,24
15,5781,207.738,799.965,25
16,5831,210.405,867.699,26
17,5902,229.082,920.473,31
18,5870,233.671,901.955,32
19,5848,238.230,884.685,33
20,5827,242.395,869.631,34
21,5814,246.504,856.562,35
22,5811,250.802,845.015,36
23,5814,254.863,835.318,37
24,5786,258.994,828.139,38
25,5795,263.102,822.170,39
26,5793,267.033,818.254,40
27,5794,271.104,816.271,41
28,5778,275.094,816.223,42
29,5789,278.889,817.700,43
30,5788,282.871,821.377,44
31,5799,286.482,826.676,45
32,5798,290.289,833.963,46
33,5806,294.126,843.102,47
34,5818,297.661,854.274,48
35,5816,301.359,866.561,49
36,5853,305.030,881.686,50
37,5871,308.514,898.245,51
38,5893,312.190,916.726,52
